account_id,account_name,service,period1_cost,period2_cost,difference,pct_change
478621777251,ilaas-dev,Amazon Simple Queue Service,8.53,17.4,8.88,+104.1%
478621777251,ilaas-dev,CloudWatch Events,0.09,7.07,6.99,+7950.0%
478621777251,ilaas-dev,AWS Secrets Manager,1.95,6.97,5.02,+258.1%
478621777251,ilaas-dev,AWS X-Ray,4.02,0.0,-4.02,-100.0%
478621777251,ilaas-dev,Amazon Simple Notification Service,1.9,5.36,3.46,+181.7%
478621777251,ilaas-dev,Amazon ElastiCache,90.05,87.07,-2.97,-3.3%
478621777251,ilaas-dev,AWS Glue,2.36,0.0,-2.36,-100.0%
478621777251,ilaas-dev,AWS Key Management Service,0.0,0.97,0.97,NEW
478621777251,ilaas-dev,Amazon Kinesis Firehose,0.58,0.0,-0.58,-100.0%
478621777251,ilaas-dev,Amazon Route 53,1.03,1.52,0.49,+48.0%
478621777251,ilaas-dev,Amazon Elastic File System,0.0,0.32,0.32,NEW
478621777251,ilaas-dev,Amazon EC2 Container Registry (ECR),0.0,0.08,0.08,NEW
478621777251,ilaas-dev,AWS IoT,0.13,0.11,-0.01,-11.3%
478621777251,ilaas-dev,AWS Payment Cryptography,0.0,0.01,0.01,NEW
478621777251,ilaas-dev,Amazon Simple Email Service,0.01,0.0,-0.01,-72.1%
478621777251,ilaas-dev,AWS Cloud Map,0.19,0.19,-0.0,-0.1%
478621777251,ilaas-dev,TOTAL,3699.76,6304.87,2605.11,+70.4%
590184005840,ilaas-prd-apac,Amazon Timestream,2750.49,1352.88,-1397.61,-50.8%
590184005840,ilaas-prd-apac,Amazon Kinesis,463.67,1056.33,592.66,+127.8%
590184005840,ilaas-prd-apac,Amazon QuickSight,365.81,0.0,-365.81,-100.0%
590184005840,ilaas-prd-apac,Amazon Elastic Container Service,0.0,222.75,222.75,NEW
590184005840,ilaas-prd-apac,Amazon OpenSearch Service,137.51,232.46,94.96,+69.1%
590184005840,ilaas-prd-apac,Amazon Virtual Private Cloud,37.44,122.53,85.09,+227.3%
590184005840,ilaas-prd-apac,Amazon Relational Database Service,22.41,107.01,84.6,+377.5%
590184005840,ilaas-prd-apac,Amazon Elastic Load Balancing,0.0,50.79,50.79,NEW
590184005840,ilaas-prd-apac,AmazonCloudWatch,618.43,666.7,48.27,+7.8%
590184005840,ilaas-prd-apac,Amazon DynamoDB,90.56,138.5,47.95,+52.9%
590184005840,ilaas-prd-apac,EC2 - Other,48.38,82.02,33.64,+69.5%
590184005840,ilaas-prd-apac,AWS Backup,1.01,27.01,26.0,+2574.6%
590184005840,ilaas-prd-apac,Amazon Kinesis Analytics,636.25,615.66,-20.59,-3.2%
